support,itemsets,itemset_size
0.11736534394825227,"var_13=low, var_80=mid",2
0.11692996641373306,"var_172=mid, var_174=high",2
0.11661898246050503,"var_67=mid, var_70=mid",2
0.11655678566985944,"var_107=high, var_110=high",2
0.11643239208856823,"var_199=high, var_76=high",2
0.11637019529792263,"var_123=high, var_172=low",2
0.11624580171663142,"var_67=high, var_80=low",2
0.11612140813534022,"var_40=high, var_80=high",2
0.11605921134469462,"var_40=mid, var_86=low",2
0.11599701455404901,"var_18=high, var_80=low",2
0.11599701455404901,"var_173=low, var_40=high",2
0.11599701455404901,"var_26=mid, var_70=high",2
0.1159348177634034,"var_13=mid, var_70=high",2
0.1159348177634034,"var_118=low, var_21=mid",2
0.1158726209727578,"var_190=mid, var_44=low",2
0.1158726209727578,"var_110=mid, var_74=mid",2
0.11581042418211221,"var_190=mid, var_199=low",2
0.11581042418211221,"var_173=high, var_18=high",2
0.1157482273914666,"var_67=low, var_80=mid",2
0.1157482273914666,"var_48=high, var_49=low",2
0.1157482273914666,"var_190=low, var_26=mid",2
0.1157482273914666,"var_26=mid, var_44=high",2
0.115686030600821,"var_190=mid, var_76=mid",2
0.115686030600821,"var_139=mid, var_165=mid",2
0.1156238338101754,"var_190=mid, var_86=high",2
0.11556163701952979,"var_118=mid, var_49=high",2
0.11556163701952979,"var_184=high, var_18=low",2
0.11556163701952979,"var_147=low, var_190=high",2
0.11556163701952979,"var_147=high, var_26=mid",2
0.11549944022888418,"var_139=high, var_18=high",2
0.11549944022888418,"var_18=low, var_199=high",2
0.11549944022888418,"var_21=high, var_26=mid",2
0.1154372434382386,"var_190=low, var_199=high",2
0.11537504664759299,"var_172=mid, var_18=low",2
0.11537504664759299,"var_149=mid, var_48=mid",2
0.11537504664759299,"var_26=low, var_49=mid",2
0.11531284985694738,"var_118=mid, var_147=low",2
0.11531284985694738,"var_80=mid, var_86=high",2
0.11531284985694738,"var_147=high, var_74=high",2
0.11531284985694738,"var_40=low, var_86=mid",2
0.11531284985694738,"var_13=mid, var_174=mid",2
0.11525065306630178,"var_26=high, var_90=mid",2
0.11518845627565617,"var_118=high, var_76=mid",2
0.11518845627565617,"var_184=low, var_80=mid",2
0.11518845627565617,"var_13=low, var_147=low",2
0.11512625948501057,"var_118=high, var_190=mid",2
0.11512625948501057,"var_123=high, var_45=mid",2
0.11512625948501057,"var_107=high, var_174=high",2
0.11512625948501057,"var_107=mid, var_74=high",2
0.11512625948501057,"var_40=high, var_74=high",2
0.11512625948501057,"var_26=low, var_44=low",2
0.11512625948501057,"var_118=low, var_44=low",2
0.11506406269436498,"var_21=mid, var_70=mid",2
0.11506406269436498,"var_118=low, var_13=high",2
0.11506406269436498,"var_13=high, var_49=mid",2
0.11506406269436498,"var_118=mid, var_67=mid",2
0.11506406269436498,"var_107=low, var_40=low",2
0.11506406269436498,"var_165=high, var_174=mid",2
0.11500186590371937,"var_118=low, var_184=mid",2
0.11500186590371937,"var_174=low, var_40=high",2
0.11500186590371937,"var_190=high, var_74=high",2
0.11500186590371937,"var_74=high, var_80=high",2
0.11500186590371937,"var_172=low, var_26=mid",2
0.11493966911307377,"var_172=high, var_70=high",2
0.11493966911307377,"var_48=mid, var_49=mid",2
0.11493966911307377,"var_74=high, var_76=low",2
0.11493966911307377,"var_13=high, var_67=mid",2
0.11493966911307377,"var_172=low, var_48=high",2
0.11487747232242816,"var_147=mid, var_67=high",2
0.11487747232242816,"var_18=mid, var_74=mid",2
0.11487747232242816,"var_44=mid, var_70=high",2
0.11487747232242816,"var_107=low, var_165=low",2
0.11487747232242816,"var_147=mid, var_184=high",2
0.11487747232242816,"var_123=low, var_76=high",2
0.11481527553178256,"var_199=mid, var_45=mid",2
0.11481527553178256,"var_123=high, var_86=mid",2
0.11481527553178256,"var_165=high, var_26=low",2
0.11481527553178256,"var_118=low, var_67=low",2
0.11475307874113695,"var_149=mid, var_26=low",2
0.11475307874113695,"var_107=low, var_123=mid",2
0.11469088195049136,"var_110=mid, var_48=low",2
0.11469088195049136,"var_139=high, var_21=low",2
0.11469088195049136,"var_13=mid, var_165=low",2
0.11469088195049136,"var_110=mid, var_67=high",2
0.11469088195049136,"var_139=low, var_18=mid",2
0.11469088195049136,"var_172=high, var_18=mid",2
0.11469088195049136,"var_13=high, var_70=low",2
0.11469088195049136,"var_149=high, var_174=mid",2
0.11469088195049136,"var_165=high, var_74=high",2
0.11469088195049136,"var_172=low, var_184=high",2
0.11469088195049136,"var_118=low, var_173=low",2
0.11469088195049136,"var_44=high, var_86=mid",2
0.11462868515984576,"var_174=high, var_67=low",2
0.11462868515984576,"var_172=high, var_184=mid",2
0.11462868515984576,"var_147=low, var_199=low",2
0.11462868515984576,"var_199=high, var_70=low",2
0.11462868515984576,"var_165=low, var_70=low",2
0.11462868515984576,"var_67=low, var_76=high",2
0.11462868515984576,"var_118=mid, var_48=high",2
0.11456648836920015,"var_173=high, var_48=low",2
0.11456648836920015,"var_139=mid, var_49=high",2
0.11456648836920015,"var_190=low, var_90=high",2
0.11456648836920015,"var_107=mid, var_165=mid",2
0.11456648836920015,"var_18=high, var_48=low",2
0.11456648836920015,"var_149=low, var_90=mid",2
0.11456648836920015,"var_44=high, var_49=mid",2
0.11450429157855455,"var_147=high, var_70=high",2
0.11450429157855455,"var_184=high, var_26=high",2
0.11450429157855455,"var_139=low, var_86=low",2
0.11450429157855455,"var_107=mid, var_44=low",2
0.11450429157855455,"var_172=low, var_86=mid",2
0.11450429157855455,"var_147=mid, var_70=mid",2
0.11450429157855455,"var_26=mid, var_76=high",2
0.11450429157855455,"var_26=mid, var_90=high",2
0.11450429157855455,"var_149=low, var_199=low",2
0.11444209478790894,"var_172=mid, var_48=low",2
0.11444209478790894,"var_110=mid, var_49=high",2
0.11444209478790894,"var_70=high, var_76=mid",2
0.11444209478790894,"var_118=high, var_86=high",2
0.11444209478790894,"var_184=low, var_40=mid",2
0.11444209478790894,"var_80=mid, var_90=high",2
0.11444209478790894,"var_110=low, var_118=high",2
0.11444209478790894,"var_13=high, var_165=mid",2
0.11444209478790894,"var_26=low, var_67=mid",2
0.11444209478790894,"var_147=high, var_199=high",2
0.11444209478790894,"var_165=low, var_67=low",2
0.11444209478790894,"var_174=low, var_184=low",2
0.11444209478790894,"var_118=low, var_190=low",2
